SKU,Retailer,Store,Region,Beginning Inventory,Ending Inventory,Reorder Point,Lead Time (days)
SKU-CL-00001,Walmart,WMT-03-002,West,403,562,81,14
SKU-CL-00001,Walmart,WMT-04-001,Northeast,862,863,161,10
SKU-CL-00001,Walmart,WMT-04-002,Northeast,584,724,108,9
SKU-CL-00001,Walmart,WMT-02-002,South,941,719,21,4
SKU-CL-00001,Walmart,WMT-02-014,South,431,631,133,10
SKU-CL-00001,Walmart,WMT-03-009,West,321,78,161,12
SKU-CL-00001,Walmart,WMT-03-005,West,378,146,140,4
SKU-CL-00001,Walmart,WMT-03-001,West,371,531,70,8
SKU-CL-00001,Walmart,WMT-01-003,Midwest,148,78,95,9
SKU-CL-00001,Walmart,WMT-01-010,Midwest,127,0,62,6
SKU-CL-00001,Walmart,WMT-01-005,Midwest,236,415,58,10
SKU-CL-00001,Walmart,WMT-04-003,Northeast,704,610,133,12
SKU-CL-00001,Walmart,WMT-02-001,South,757,876,20,11
SKU-CL-00001,Walmart,WMT-01-012,Midwest,916,689,127,13
SKU-CL-00001,Walmart,WMT-01-002,Midwest,469,191,89,5
SKU-CL-00001,Walmart,WMT-02-013,South,472,572,48,6
SKU-CL-00001,Walmart,WMT-01-006,Midwest,279,79,51,10
SKU-CL-00001,Walmart,WMT-01-014,Midwest,784,666,114,5
SKU-CL-00001,Walmart,WMT-03-003,West,508,311,120,4
SKU-CL-00001,Walmart,WMT-03-010,West,893,840,96,9
SKU-CL-00001,Walmart,WMT-01-009,Midwest,686,795,94,4
SKU-CL-00001,Walmart,WMT-02-005,South,783,881,129,10
SKU-CL-00001,Walmart,WMT-02-004,South,871,638,91,6
SKU-CL-00001,Walmart,WMT-02-003,South,596,754,149,4
SKU-CL-00001,Walmart,WMT-03-015,West,213,274,37,14
SKU-CL-00001,Walmart,WMT-03-007,West,137,333,78,6
SKU-CL-00001,Walmart,WMT-02-006,South,291,129,36,9
SKU-CL-00001,Walmart,WMT-02-007,South,918,913,164,11
SKU-CL-00001,Walmart,WMT-03-011,West,763,920,74,8
SKU-CL-00001,Walmart,WMT-01-007,Midwest,162,173,149,3
SKU-CL-00001,Sam's Club,SAM-02-007,South,679,475,47,4
SKU-CL-00001,Sam's Club,SAM-01-010,Midwest,374,95,93,5
SKU-CL-00001,Sam's Club,SAM-03-004,West,131,0,32,10
SKU-CL-00001,Sam's Club,SAM-01-004,Midwest,312,452,47,8
SKU-CL-00001,Sam's Club,SAM-03-003,West,594,634,158,14
SKU-CL-00001,Sam's Club,SAM-02-010,South,836,961,86,12
SKU-CL-00001,Sam's Club,SAM-02-006,South,564,618,152,13
SKU-CL-00001,Sam's Club,SAM-01-005,Midwest,753,782,169,12
SKU-CL-00001,Sam's Club,SAM-01-007,Midwest,69,0,104,13
SKU-CL-00001,Sam's Club,SAM-01-008,Midwest,200,178,170,8
SKU-CL-00001,Sam's Club,SAM-03-005,West,102,176,101,4
SKU-CL-00001,Sam's Club,SAM-02-004,South,206,0,21,12
SKU-CL-00001,Sam's Club,SAM-03-001,West,302,242,38,11
SKU-CL-00001,Sam's Club,SAM-03-002,West,313,205,35,12
